Product,Avg_Resolution_Days
Non-financial product/service,45.0
Other financial service,12.204545454545455
Payday loan,6.53527496382055
Consumer Loan,4.89375455496055
Virtual currency,4.444444444444445
Credit reporting,4.137040149260108
Mortgage,3.7880581774328075
Debt or credit management,3.739423279309619
Prepaid card,3.5641409332063665
"Payday loan, title loan, or personal loan",3.5532623603944877
Bank account or service,2.9991183090094897
"Payday loan, title loan, personal loan, or advance loan",2.966305372290292
Money transfers,2.4271572655958162
Student loan,2.2635996771589992
Debt collection,2.1737132832359087
Vehicle loan or lease,1.9290686582915593
Credit card or prepaid card,1.732589638345198
Credit card,1.6862986474113406
Checking or savings account,1.359179214488786
"Money transfer, virtual currency, or money service",1.2967490487072733
"Credit reporting, credit repair services, or other personal consumer reports",0.3463732101287889
Credit reporting or other personal consumer reports,0.16297718698390687
Other,
