year,month,Total_Complaints,date
2011,12,2536,2011-12-01
2012,1,3230,2012-01-01
2012,2,3509,2012-02-01
2012,3,6229,2012-03-01
2012,4,5703,2012-04-01
2012,5,7614,2012-05-01
2012,6,7841,2012-06-01
2012,7,6755,2012-07-01
2012,8,6877,2012-08-01
2012,9,5492,2012-09-01
2012,10,6741,2012-10-01
2012,11,6139,2012-11-01
2012,12,6238,2012-12-01
2013,1,9741,2013-01-01
2013,2,8349,2013-02-01
2013,3,8785,2013-03-01
2013,4,8632,2013-04-01
2013,5,8170,2013-05-01
2013,6,8035,2013-06-01
2013,7,9270,2013-07-01
2013,8,9564,2013-08-01
2013,9,9636,2013-09-01
2013,10,9240,2013-10-01
2013,11,9318,2013-11-01
2013,12,9474,2013-12-01
2014,1,12615,2014-01-01
2014,2,13046,2014-02-01
2014,3,13940,2014-03-01
2014,4,13834,2014-04-01
2014,5,12158,2014-05-01
2014,6,12508,2014-06-01
2014,7,13402,2014-07-01
2014,8,13169,2014-08-01
2014,9,12454,2014-09-01
2014,10,12882,2014-10-01
2014,11,11243,2014-11-01
2014,12,11658,2014-12-01
2015,1,12608,2015-01-01
2015,2,12657,2015-02-01
2015,3,14489,2015-03-01
2015,4,13729,2015-04-01
2015,5,13671,2015-05-01
2015,6,14502,2015-06-01
2015,7,15895,2015-07-01
2015,8,15756,2015-08-01
2015,9,14320,2015-09-01
2015,10,14879,2015-10-01
2015,11,12890,2015-11-01
2015,12,12877,2015-12-01
2016,1,13827,2016-01-01
2016,2,14131,2016-02-01
2016,3,16599,2016-03-01
2016,4,15595,2016-04-01
2016,5,15510,2016-05-01
2016,6,16054,2016-06-01
2016,7,16032,2016-07-01
2016,8,17680,2016-08-01
2016,9,17559,2016-09-01
2016,10,17788,2016-10-01
2016,11,15194,2016-11-01
2016,12,15325,2016-12-01
2017,1,20988,2017-01-01
2017,2,18078,2017-02-01
2017,3,19740,2017-03-01
2017,4,18533,2017-04-01
2017,5,19278,2017-05-01
2017,6,18546,2017-06-01
2017,7,20418,2017-07-01
2017,8,21381,2017-08-01
2017,9,27336,2017-09-01
2017,10,20444,2017-10-01
2017,11,18980,2017-11-01
2017,12,19023,2017-12-01
2018,1,23633,2018-01-01
2018,2,21959,2018-02-01
2018,3,23620,2018-03-01
2018,4,24314,2018-04-01
2018,5,22321,2018-05-01
2018,6,20093,2018-06-01
2018,7,20945,2018-07-01
2018,8,21710,2018-08-01
2018,9,19064,2018-09-01
2018,10,21883,2018-10-01
2018,11,19046,2018-11-01
2018,12,18544,2018-12-01
2019,1,18927,2019-01-01
2019,2,20194,2019-02-01
2019,3,23400,2019-03-01
2019,4,22905,2019-04-01
2019,5,23841,2019-05-01
2019,6,23335,2019-06-01
2019,7,25070,2019-07-01
2019,8,26043,2019-08-01
2019,9,23565,2019-09-01
2019,10,25624,2019-10-01
2019,11,22641,2019-11-01
2019,12,21696,2019-12-01
2020,1,26394,2020-01-01
2020,2,25079,2020-02-01
2020,3,29480,2020-03-01
2020,4,34794,2020-04-01
2020,5,36987,2020-05-01
2020,6,37888,2020-06-01
2020,7,40639,2020-07-01
2020,8,39187,2020-08-01
2020,9,39875,2020-09-01
2020,10,43975,2020-10-01
2020,11,41541,2020-11-01
2020,12,48375,2020-12-01
2021,1,42475,2021-01-01
2021,2,33262,2021-02-01
2021,3,41172,2021-03-01
2021,4,39665,2021-04-01
2021,5,41312,2021-05-01
2021,6,45732,2021-06-01
2021,7,45075,2021-07-01
2021,8,42584,2021-08-01
2021,9,40371,2021-09-01
2021,10,39295,2021-10-01
2021,11,39069,2021-11-01
2021,12,45927,2021-12-01
2022,1,53229,2022-01-01
2022,2,53185,2022-02-01
2022,3,61896,2022-03-01
2022,4,72244,2022-04-01
2022,5,60377,2022-05-01
2022,6,61871,2022-06-01
2022,7,64440,2022-07-01
2022,8,69258,2022-08-01
2022,9,65778,2022-09-01
2022,10,75791,2022-10-01
2022,11,77040,2022-11-01
2022,12,85146,2022-12-01
2023,1,93933,2023-01-01
2023,2,86540,2023-02-01
2023,3,110635,2023-03-01
2023,4,97086,2023-04-01
2023,5,106211,2023-05-01
2023,6,104425,2023-06-01
2023,7,106774,2023-07-01
2023,8,119713,2023-08-01
2023,9,112888,2023-09-01
2023,10,117424,2023-10-01
2023,11,113365,2023-11-01
2023,12,123066,2023-12-01
2024,1,143367,2024-01-01
2024,2,157615,2024-02-01
2024,3,177815,2024-03-01
2024,4,191121,2024-04-01
2024,5,211965,2024-05-01
2024,6,204168,2024-06-01
2024,7,232654,2024-07-01
2024,8,263815,2024-08-01
2024,9,264821,2024-09-01
2024,10,295878,2024-10-01
2024,11,287078,2024-11-01
2024,12,303979,2024-12-01
2025,1,475784,2025-01-01
2025,2,335237,2025-02-01
2025,3,396974,2025-03-01
2025,4,406103,2025-04-01
2025,5,415192,2025-05-01
2025,6,412174,2025-06-01
2025,7,473201,2025-07-01
2025,8,495582,2025-08-01
2025,9,503854,2025-09-01
2025,10,519802,2025-10-01
2025,11,496696,2025-11-01
2025,12,512638,2025-12-01
2026,1,541788,2026-01-01
2026,2,504819,2026-02-01
2026,3,615526,2026-03-01
2026,4,616627,2026-04-01
2026,5,661122,2026-05-01
2026,6,769757,2026-06-01
2026,7,112092,2026-07-01
