Product,Total_Complaints
Credit reporting or other personal consumer reports,11029024
"Credit reporting, credit repair services, or other personal consumer reports",2163773
Debt collection,1159262
Mortgage,455005
Checking or savings account,381304
Credit card,327844
Credit card or prepaid card,206357
"Money transfer, virtual currency, or money service",185176
Credit reporting,140426
Student loan,130286
Vehicle loan or lease,99143
Bank account or service,86198
"Payday loan, title loan, personal loan, or advance loan",34402
Consumer Loan,31560
"Payday loan, title loan, or personal loan",30622
Prepaid card,22340
Debt or credit management,9687
Payday loan,5528
Money transfers,5354
Other financial service,1056
Other,58
Virtual currency,18
Non-financial product/service,1
