Issue,Total
Incorrect information on your report,7308115
Improper use of your report,3184621
Problem with a company's investigation into an existing problem,2062398
Problem with a credit reporting company's investigation into an existing problem,589318
Attempts to collect debt not owed,463808
Written notification about debt,224216
Managing an account,222808
Took or threatened to take negative or legal action,143969
False statements or representation,117539
"Loan modification,collection,foreclosure",112294
